"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://sigp2-prod.acpm.fr/les-membres/support/tendance-ouest","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Tendance Ouest","14","","0","DÉTAIL MENSUEL DE LA MARQUE RADIO","33","Informations","12","","","","","","","","","","238647","17935","17935","6.871","","727","103","7.058","100.000","Very Easy","2.728","2","2","","21","4","0","0.210","77","67","0","3","3","0","","","","","c5239a3cbee5d7ec33fe03f21103e242","0.318","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/tendance-ouest","2026-02-05 23:45:12"
"https://sigp2-prod.acpm.fr/les-membres/support/notretemps-com","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Notretemps.com","14","","0","DÉTAIL MENSUEL DE LA FRÉQUENTATION","34","Informations","12","","","","","","","","","","224417","17492","17492","6.701","","714","82","8.707","100.000","Very Easy","2.741","2","2","","28","5","0","0.260","77","67","0","3","3","0","","","","","115289f3ee1e67534524c646b3870ba7","0.326","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/notretemps-com","2026-02-05 23:44:55"
"https://sigp2-prod.acpm.fr/les-membres/marque/marque-cuisine-et-vins-de-france","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Marque Cuisine et Vins de France","32","","0","AUDIENCE PRESSE","15","AUDIENCE PRESSE","15","","","","","","","","","","101270","11635","11635","4.457","","125","35","3.571","78.679","Fairly Easy","3.535","3","2","","3","2","0","0.110","72","63","0","3","3","0","","","","","aa995ea7a1dd61808d853e1281d6364a","0.120","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/marque-cuisine-et-vins-de-france","2026-02-05 23:47:16"
"https://sigp2-prod.acpm.fr/les-membres/support/tendance-ouest-1","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Tendance Ouest","14","","0","DÉTAIL MENSUEL DE LA FRÉQUENTATION","34","Informations","12","","","","","","","","","","208367","16650","16650","6.378","","587","80","7.338","100.000","Very Easy","2.787","2","2","","29","5","0","0.260","77","67","0","3","3","0","","","","","b5624a9654abfb0bc3ac29d166047d61","0.211","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/tendance-ouest-1","2026-02-05 23:45:30"
"https://sigp2-prod.acpm.fr/les-membres/marque/marque-ouest-france","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Marque Ouest-France","19","","0","AUDIENCE PRESSE","15","AUDIENCE PRESSE","15","","","","","","","","","","123720","12757","12757","4.887","","192","54","3.556","73.682","Fairly Easy","3.554","2","2","","31","8","0","0.420","76","66","0","3","3","0","","","","","deb4397b96dff6fac381cb6aca3d21c6","0.142","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/marque-ouest-france","2026-02-05 23:45:23"
"https://sigp2-prod.acpm.fr/les-membres/support/encore-une-histoire-2","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Encore une histoire","19","","0","Détail mensuel de la Marque Podcast","35","Informations","12","","","","","","","","","","107831","12844","12844","4.920","","350","76","4.605","93.148","Very Easy","4.380","2","2","","13","3","0","0.160","77","67","0","3","3","0","","","","","74db6e946bb6ff8711b52625bc74ea0b","0.131","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/encore-une-histoire-2","2026-02-05 23:45:39"
"https://sigp2-prod.acpm.fr/les-membres/support/lasemainedelallier-fr","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Lasemainedelallier.fr","21","","0","DÉTAIL MENSUEL DE LA FRÉQUENTATION","34","Informations","12","","","","","","","","","","224189","17132","17132","6.563","","614","82","7.488","100.000","Very Easy","2.607","2","2","","28","5","0","0.260","77","67","0","3","3","0","","","","","b960d365e13c4e86e11089b5c19e144c","0.313","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/lasemainedelallier-fr","2026-02-05 23:44:55"
"https://sigp2-prod.acpm.fr/les-membres/marque/marque-direct-editeurs","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Marque Direct Editeurs","22","","0","FRÉQUENTATION INTERNET","22","FRÉQUENTATION INTERNET","22","","","","","","","","","","90905","11030","11030","4.225","","100","24","4.167","63.016","Normal","3.469","2","2","","13","4","0","0.210","72","64","0","3","3","0","","","","","c06bc27eb4e08084ff549b6b38732926","0.122","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/marque-direct-editeurs","2026-02-05 23:45:23"
"https://sigp2-prod.acpm.fr/les-membres/support/groupe-la-provence-dimanche-1","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Groupe La Provence Dimanche","27","","0","HISTORIQUE D'AUDIENCE","21","Informations","12","","","","","","","","","","115269","13256","13256","5.078","","368","78","4.718","93.308","Very Easy","4.148","2","2","","11","3","0","0.160","77","67","0","3","3","0","","","","","3b6723f9f9571c6a866fcb7d74ad69a8","0.126","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/groupe-la-provence-dimanche-1","2026-02-05 23:44:49"
"https://sigp2-prod.acpm.fr/les-membres/support/telerama-guide-tv","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Télérama-Guide TV","17","","0","DÉTAIL MENSUEL DE LA FRÉQUENTATION","34","Informations","12","","","","","","","","","","208616","17007","17007","6.515","","662","80","8.275","100.000","Very Easy","2.918","2","2","","29","5","0","0.260","77","67","0","3","3","0","","","","","4bd0f42a60a9b51eabdd286f1ba45c56","0.352","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/telerama-guide-tv","2026-02-05 23:45:32"
"https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-chirurgien-dentiste-de-france","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Marque Le Chirurgien Dentiste de France","39","","0","DIFFUSION PRESSE","16","DIFFUSION PRESSE","16","","","","","","","","","","89676","11038","11038","4.228","","96","24","4.000","75.875","Fairly Easy","3.478","3","2","","3","2","0","0.110","71","63","0","3","3","0","","","","","edf3daf0e626ecce82edc6d394278a70","0.066","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-chirurgien-dentiste-de-france","2026-02-05 23:46:16"
"https://sigp2-prod.acpm.fr/les-membres/marque/marque-gala","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Marque Gala","11","","0","AUDIENCE PRESSE","15","AUDIENCE PRESSE","15","","","","","","","","","","118083","12259","12259","4.696","","159","48","3.312","69.922","Normal","3.443","2","2","","43","9","0","0.480","74","65","0","3","3","0","","","","","e0104b19c397b81f98db5b10530dbb60","0.123","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/marque-gala","2026-02-05 23:44:37"
"https://sigp2-prod.acpm.fr/les-membres/marque/marque-radio-star-est","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Marque Radio Star Est","21","","0","FRÉQUENTATION AUDIO","19","FRÉQUENTATION AUDIO","19","","","","","","","","","","86589","10350","10350","3.965","","91","23","3.957","68.947","Normal","3.461","3","2","","3","2","0","0.110","71","63","0","3","3","0","","","","","c79578b6ac36d064b7b2dc06ea25029c","0.057","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/marque-radio-star-est","2026-02-05 23:47:59"
"https://sigp2-prod.acpm.fr/les-membres/marque/marque-geo","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Marque Géo","10","","0","AUDIENCE PRESSE","15","AUDIENCE PRESSE","15","","","","","","","","","","115674","12171","12171","4.662","","150","47","3.191","70.492","Fairly Easy","3.460","2","2","","29","6","0","0.320","73","64","0","3","3","0","","","","","c6ab4b652e42f682ee8033a3106a1c68","0.078","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/marque-geo","2026-02-05 23:45:24"
"https://sigp2-prod.acpm.fr/les-membres/marque/www.reworldmediaconnect.com/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","3","3","","1","1","0","0.050","0","0","0","0","0","0","","","","","","0.053","","https://sigp2-prod.acpm.fr/les-membres/marque/www.reworldmediaconnect.com","HTTP Redirect","","","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/www.reworldmediaconnect.com/","2026-02-05 23:47:06"
"https://sigp2-prod.acpm.fr/les-membres/marque/marque-a-decouvert","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Marque A Découvert","18","","0","Informations","12","","0","","","","","","","","","","77999","9185","9185","3.519","","65","13","5.000","69.003","Normal","3.388","2","2","","15","3","0","0.160","70","62","0","3","3","0","","","","","7b9700cf4f3836cd28958253f4c37f2c","0.099","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/marque-a-decouvert","2026-02-05 23:44:38"
